Airport,Adjacent_Airport,id,Adjacent_id,Distance
ABQ,ABQ,1,1,0
ABQ,AMA,1,2,0
ABQ,ANC,1,3,0
ABQ,ATL,1,4,1266.63973488863
ABQ,AUS,1,5,0
ABQ,BDL,1,6,0
ABQ,BFI,1,7,0
ABQ,BGR,1,8,0
ABQ,BHM,1,9,0
ABQ,BIL,1,10,0
ABQ,BNA,1,11,0
ABQ,BOS,1,12,0
ABQ,BUF,1,13,0
ABQ,BWI,1,14,1666.64788427984
ABQ,CHS,1,15,0
ABQ,CLE,1,16,0
ABQ,CLT,1,17,0
ABQ,CMH,1,18,0
ABQ,CPR,1,19,0
ABQ,CRP,1,20,0
ABQ,CVG,1,21,0
ABQ,DAY,1,22,0
ABQ,DEN,1,23,349.644134348171
ABQ,DFW,1,24,567.851902022633
ABQ,DLH,1,25,0
ABQ,DSM,1,26,0
ABQ,ERI,1,27,0
ABQ,EWR,1,28,0
ABQ,FAI,1,29,0
ABQ,FLL,1,30,0
ABQ,FWA,1,31,0
ABQ,GEG,1,32,0
ABQ,GPT,1,33,0
ABQ,GRB,1,34,0
ABQ,GSO,1,35,0
ABQ,GSP,1,36,0
ABQ,HNL,1,37,0
ABQ,HSV,1,38,0
ABQ,IAD,1,39,1624.27814845695
ABQ,IAH,1,40,743.012821786263
ABQ,ICT,1,41,0
ABQ,IND,1,42,0
ABQ,JAN,1,43,0
ABQ,JAX,1,44,0
ABQ,JFK,1,45,0
ABQ,LAS,1,46,485.393330387831
ABQ,LAX,1,47,675.828131752604
ABQ,LBB,1,48,0
ABQ,MBS,1,49,0
ABQ,MCI,1,50,717.220325846595
ABQ,MCO,1,51,0
ABQ,MDW,1,52,1119.11701899574
ABQ,MEM,1,53,0
ABQ,MIA,1,54,0
ABQ,MKE,1,55,0
ABQ,MLI,1,56,0
ABQ,MSP,1,57,979.982919094622
ABQ,MSY,1,58,0
ABQ,MYR,1,59,0
ABQ,OAK,1,60,886.90143560181
ABQ,ONT,1,61,0
ABQ,ORD,1,62,1115.99953720572
ABQ,ORF,1,63,0
ABQ,PBI,1,64,0
ABQ,PDX,1,65,1110.24486077531
ABQ,PHF,1,66,0
ABQ,PHL,1,67,0
ABQ,PHX,1,68,327.925262948237
ABQ,PIT,1,69,0
ABQ,PWM,1,70,0
ABQ,RDU,1,71,0
ABQ,RFD,1,72,0
ABQ,RIC,1,73,0
ABQ,RNO,1,74,0
ABQ,ROC,1,75,0
ABQ,RST,1,76,0
ABQ,RSW,1,77,0
ABQ,SAN,1,78,627.157661386839
ABQ,SAT,1,79,0
ABQ,SAV,1,80,0
ABQ,SDF,1,81,0
ABQ,SEA,1,82,1179.01348700658
ABQ,SFB,1,83,0
ABQ,SFO,1,84,894.397785508922
ABQ,SJC,1,85,0
ABQ,SLC,1,86,493.146154119772
ABQ,SMF,1,87,0
ABQ,SRQ,1,88,0
ABQ,STL,1,89,931.789436616688
ABQ,SYR,1,90,0
ABQ,TPA,1,91,0
ABQ,TUL,1,92,0
ABQ,TUS,1,93,320.89639001059
AMA,ABQ,2,1,0
AMA,AMA,2,2,0
AMA,ANC,2,3,0
AMA,ATL,2,4,0
AMA,AUS,2,5,0
AMA,BDL,2,6,0
AMA,BFI,2,7,0
AMA,BGR,2,8,0
AMA,BHM,2,9,0
AMA,BIL,2,10,0
AMA,BNA,2,11,0
AMA,BOS,2,12,0
AMA,BUF,2,13,0
AMA,BWI,2,14,0
AMA,CHS,2,15,0
AMA,CLE,2,16,0
AMA,CLT,2,17,0
AMA,CMH,2,18,0
AMA,CPR,2,19,0
AMA,CRP,2,20,0
AMA,CVG,2,21,0
AMA,DAY,2,22,0
AMA,DEN,2,23,359.551878342054
AMA,DFW,2,24,311.652321584131
AMA,DLH,2,25,0
AMA,DSM,2,26,0
AMA,ERI,2,27,0
AMA,EWR,2,28,0
AMA,FAI,2,29,0
AMA,FLL,2,30,0
AMA,FWA,2,31,0
AMA,GEG,2,32,0
AMA,GPT,2,33,0
AMA,GRB,2,34,0
AMA,GSO,2,35,0
AMA,GSP,2,36,0
AMA,HNL,2,37,0
AMA,HSV,2,38,0
AMA,IAD,2,39,0
AMA,IAH,2,40,517.542857122776
AMA,ICT,2,41,0
AMA,IND,2,42,0
AMA,JAN,2,43,0
AMA,JAX,2,44,0
AMA,JFK,2,45,0
AMA,LAS,2,46,756.702829294435
AMA,LAX,2,47,0
AMA,LBB,2,48,0
AMA,MBS,2,49,0
AMA,MCI,2,50,0
AMA,MCO,2,51,0
AMA,MDW,2,52,0
AMA,MEM,2,53,0
AMA,MIA,2,54,0
AMA,MKE,2,55,0
AMA,MLI,2,56,0
AMA,MSP,2,57,0
AMA,MSY,2,58,0
AMA,MYR,2,59,0
AMA,OAK,2,60,0
AMA,ONT,2,61,0
AMA,ORD,2,62,0
AMA,ORF,2,63,0
AMA,PBI,2,64,0
AMA,PDX,2,65,0
AMA,PHF,2,66,0
AMA,PHL,2,67,0
AMA,PHX,2,68,0
AMA,PIT,2,69,0
AMA,PWM,2,70,0
AMA,RDU,2,71,0
AMA,RFD,2,72,0
AMA,RIC,2,73,0
AMA,RNO,2,74,0
AMA,ROC,2,75,0
AMA,RST,2,76,0
AMA,RSW,2,77,0
AMA,SAN,2,78,0
AMA,SAT,2,79,0
AMA,SAV,2,80,0
AMA,SDF,2,81,0
AMA,SEA,2,82,0
AMA,SFB,2,83,0
AMA,SFO,2,84,0
AMA,SJC,2,85,0
AMA,SLC,2,86,0
AMA,SMF,2,87,0
AMA,SRQ,2,88,0
AMA,STL,2,89,0
AMA,SYR,2,90,0
AMA,TPA,2,91,0
AMA,TUL,2,92,0
AMA,TUS,2,93,0
ANC,ABQ,3,1,0
ANC,AMA,3,2,0
ANC,ANC,3,3,0
ANC,ATL,3,4,0
ANC,AUS,3,5,0
ANC,BDL,3,6,0
ANC,BFI,3,7,0
ANC,BGR,3,8,0
ANC,BHM,3,9,0
ANC,BIL,3,10,0
ANC,BNA,3,11,0
ANC,BOS,3,12,0
ANC,BUF,3,13,0
ANC,BWI,3,14,0
ANC,CHS,3,15,0
ANC,CLE,3,16,0
ANC,CLT,3,17,0
ANC,CMH,3,18,0
ANC,CPR,3,19,0
ANC,CRP,3,20,0
ANC,CVG,3,21,0
ANC,DAY,3,22,0
ANC,DEN,3,23,2400.53707505742
ANC,DFW,3,24,0
ANC,DLH,3,25,0
ANC,DSM,3,26,0
ANC,ERI,3,27,0
ANC,EWR,3,28,0
ANC,FAI,3,29,260.332510887655
ANC,FLL,3,30,0
ANC,FWA,3,31,0
ANC,GEG,3,32,0
ANC,GPT,3,33,0
ANC,GRB,3,34,0
ANC,GSO,3,35,0
ANC,GSP,3,36,0
ANC,HNL,3,37,2780.33423859282
ANC,HSV,3,38,0
ANC,IAD,3,39,0
ANC,IAH,3,40,0
ANC,ICT,3,41,0
ANC,IND,3,42,0
ANC,JAN,3,43,0
ANC,JAX,3,44,0
ANC,JFK,3,45,0
ANC,LAS,3,46,0
ANC,LAX,3,47,0
ANC,LBB,3,48,0
ANC,MBS,3,49,0
ANC,MCI,3,50,0
ANC,MCO,3,51,0
ANC,MDW,3,52,0
ANC,MEM,3,53,0
ANC,MIA,3,54,0
ANC,MKE,3,55,0
ANC,MLI,3,56,0
ANC,MSP,3,57,2511.73659401843
ANC,MSY,3,58,0
ANC,MYR,3,59,0
ANC,OAK,3,60,0
ANC,ONT,3,61,0
ANC,ORD,3,62,2838.83310046603
ANC,ORF,3,63,0
ANC,PBI,3,64,0
ANC,PDX,3,65,1539.06553297627
ANC,PHF,3,66,0
ANC,PHL,3,67,0
ANC,PHX,3,68,2548.66674978513
ANC,PIT,3,69,0
ANC,PWM,3,70,0
ANC,RDU,3,71,0
ANC,RFD,3,72,0
ANC,RIC,3,73,0
ANC,RNO,3,74,0
ANC,ROC,3,75,0
ANC,RST,3,76,0
ANC,RSW,3,77,0
ANC,SAN,3,78,0
ANC,SAT,3,79,0
ANC,SAV,3,80,0
ANC,SDF,3,81,0
ANC,SEA,3,82,1445.17507431086
ANC,SFB,3,83,0
ANC,SFO,3,84,0
ANC,SJC,3,85,0
ANC,SLC,3,86,2120.84189287227
ANC,SMF,3,87,0
ANC,SRQ,3,88,0
ANC,STL,3,89,0
ANC,SYR,3,90,0
ANC,TPA,3,91,0
ANC,TUL,3,92,0
ANC,TUS,3,93,0
ATL,ABQ,4,1,1266.63973488863
ATL,AMA,4,2,0
ATL,ANC,4,3,0
ATL,ATL,4,4,0
ATL,AUS,4,5,811.555426716631
ATL,BDL,4,6,858.986428320433
ATL,BFI,4,7,0
ATL,BGR,4,8,0
ATL,BHM,4,9,133.928053809695
ATL,BIL,4,10,0
ATL,BNA,4,11,214.03402387953
ATL,BOS,4,12,945.507980961146
ATL,BUF,4,13,712.795633200057
ATL,BWI,4,14,576.376438939168
ATL,CHS,4,15,258.545483389802
ATL,CLE,4,16,555.425835711565
