,ABQ,AMA,ANC,ATL,AUS,BDL,BFI,BGR,BHM,BIL,BNA,BOS,BUF,BWI,CHS,CLE,CLT,CMH,CPR,CRP,CVG,DAY,DEN,DFW,DLH,DSM,ERI,EWR,FAI,FLL,FWA,GEG,GPT,GRB,GSO,GSP,HNL,HSV,IAD,IAH,ICT,IND,JAN,JAX,JFK,LAS,LAX,LBB,MBS,MCI,MCO,MDW,MEM,MIA,MKE,MLI,MSP,MSY,MYR,OAK,ONT,ORD,ORF,PBI,PDX,PHF,PHL,PHX,PIT,PWM,RDU,RFD,RIC,RNO,ROC,RST,RSW,SAN,SAT,SAV,SDF,SEA,SFB,SFO,SJC,SLC,SMF,SRQ,STL,SYR,TPA,TUL,TUS
ABQ,0,0,0,1266.63973488863,0,0,0,0,0,0,0,0,0,1666.64788427984,0,0,0,0,0,0,0,0,349.644134348171,567.851902022633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624.27814845695,743.012821786263,0,0,0,0,0,485.393330387831,675.828131752604,0,0,717.220325846595,0,1119.11701899574,0,0,0,0,979.982919094622,0,0,886.90143560181,0,1115.99953720572,0,0,1110.24486077531,0,0,327.925262948237,0,0,0,0,0,0,0,0,0,627.157661386839,0,0,0,1179.01348700658,0,894.397785508922,0,493.146154119772,0,0,931.789436616688,0,0,0,320.89639001059
AMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.551878342054,311.652321584131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517.542857122776,0,0,0,0,0,756.702829294435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400.53707505742,0,0,0,0,0,260.332510887655,0,0,0,0,0,0,0,2780.33423859282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511.73659401843,0,0,0,0,2838.83310046603,0,0,1539.06553297627,0,0,2548.66674978513,0,0,0,0,0,0,0,0,0,0,0,0,0,1445.17507431086,0,0,0,2120.84189287227,0,0,0,0,0,0,0
ATL,1266.63973488863,0,0,0,811.555426716631,858.986428320433,0,0,133.928053809695,0,214.03402387953,945.507980961146,712.795633200057,576.376438939168,258.545483389802,555.425835711565,226.545441911534,447.666918714944,0,0,374.200589920937,433.098501483914,1197.21867647934,729.865271631818,0,743.063980924167,0,745.266588330979,0,581.913503741337,509.04251037551,0,351.701939324242,0,306.110378156543,153.234470606847,4495.16639060514,150.979948457274,533.810133652544,688.249934380548,780.290739953683,432.665937178837,339.903309386639,269.968683959278,759.420484937205,1742.94677010092,1942.3872928158,0,0,691.862136161566,404.373723344328,591.557378131478,331.082371836233,595.971809764614,670.099053409217,633.862996181596,907.082751366242,424.778091264132,316.292069075093,0,0,606.699405909912,515.587779894764,545.596432973385,2168.19801520445,507.828534485923,665.898051688583,1584.02335170531,526.941824630718,1026.41086557869,355.600583726123,0,480.461378147744,0,749.836682510055,0,515.932975647499,1887.64527918312,872.892958964437,214.262512813858,321.964230124777,2178.02612444841,0,2134.36648748875,2111.32707962805,1586.83396314234,2087.77740261571,445.419857846967,484.081361984871,793.934219063218,406.993223140717,672.528297547086,1537.96191094213
AUS,0,0,0,811.555426716631,0,0,0,0,0,0,755.619337361751,1696.26091473541,0,1340.40378812707,0,0,1030.9382503251,0,0,0,0,0,776.030379333641,190.392582111746,0,0,0,1501.89100115953,0,1103.42044339103,0,0,0,0,0,0,0,0,1295.24330392753,139.964581583368,0,0,0,0,1519.63419169423,1088.16510171646,1239.30665083753,341.657934126649,0,0,992.397416204974,972.607896637463,558.862268223006,0,0,0,1043.28489877096,0,0,1494.69201300474,0,978.448938449329,0,0,0,0,1428.68101465345,870.536343049066,0,0,0,0,0,0,0,0,0,1162.06797062151,0,0,0,1769.38467563178,0,1501.3342558193,1473.61782051322,1085.35650481257,0,0,0,0,926.059198802263,0,0
BDL,0,0,0,858.986428320433,0,0,0,0,0,0,0,0,0,283.18816891665,0,474.266945351808,643.590597411293,0,0,0,659.994280644407,0,1667.18049465715,1468.50535540002,0,0,0,115.584929278568,0,1175.63849846155,0,0,0,0,0,0,0,0,325.177792984127,0,0,0,0,0,106.270437448598,2291.94846997807,0,0,0,0,1051.55766132053,774.539264166183,0,1196.69184266203,0,0,1047.83576607733,0,0,0,0,781.101369134542,0,1134.70025064495,0,0,195.539140377724,0,404.809501201351,0,531.790869076576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112.65690218727,0,0
BFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60625406160621,0,0,0,0,0,0,0,0,0,0,0
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472.549111056945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299.76468218283,0,0,0,0,0,0,0,0,0,0
BHM,0,0,0,133.928053809695,0,0,0,0,0,0,177.051840375219,0,0,681.401548969312,0,0,350.339792487697,0,0,0,0,0,1081.26538666427,595.962577293195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.536002790687,0,0,0,364.633969242705,0,1614.50966637246,0,0,0,0,479.217396432402,570.803945220885,210.456205477063,662.018110641542,0,0,854.622009533385,321.208984230521,0,0,0,584.877569863768,0,0,0,0,771.396576364326,1451.79572727569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.132861552273,0,460.137545156589,0,0
BIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.109102974607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754.842332411745,0,0,0,0,0,0,0,0,0,0,745.655281645832,0,0,897.390094245096,0,0,0,0,677.593404768776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662.069735354224,0,0,0,387.364253976131,0,0,0,0,0,0,0
BNA,0,0,0,214.03402387953,755.619337361751,0,0,0,177.051840375219,0,0,940.996937472703,0,586.390340269003,438.606404048172,448.305312676737,327.974121692552,337.663378822413,0,0,230.084479628291,0,1011.39628591574,630.201408741606,0,0,0,746.318556057414,0,794.128726933458,0,0,0,0,0,264.769097332656,0,0,541.27274478974,656.534631188196,0,0,0,483.973709286928,764.185336129134,1583.88698694579,1793.58622299018,0,0,490.677634649407,617.059349777506,395.421005301003,199.85683891734,807.473416528231,0,0,695.400003565161,471.545341888143,0,0,0,409.8102688418,583.99869164814,0,0,0,673.794577947893,1445.60227471215,0,0,441.30158919211,0,0,0,0,0,0,1747.44972898015,821.270109274461,0,0,0,0,0,0,1401.06547112345,0,0,271.81114381256,0,612.994138039886,0,0
BOS,0,0,0,945.507980961146,1696.26091473541,0,0,0,0,0,940.996937472703,0,394.555287822912,369.150882037367,0,561.322620584343,727.468658422814,638.82021741066,0,0,750.427088673914,0,1749.72223246115,1559.28356655975,0,0,0,200.284125705547,0,1239.27878107831,0,0,0,0,0,0,0,0,412.336049401163,1595.55928687441,0,816.31545596307,0,1010.8235846767,186.533450211485,2375.44402499862,2605.58815841382,0,0,1253.28944335361,1122.24989570719,858.483285681012,1137.79223337679,1260.39344514719,857.869683405829,0,1121.16647815642,1366.83227499857,738.228466370955,0,0,864.429328483297,468.087109305082,1198.99860907755,2530.57826180978,0,279.722505494573,2295.34718240554,494.991349774866,0,611.783198932617,0,473.71192890798,0,342.237451873588,0,1251.0780711662,2582.51274985834,0,0,0,2489.06129098054,0,2697.68884346666,2682.41892102668,2100.08701741259,0,1221.43089835373,1044.33616275134,263.929440892428,1185.93366645832,0,0
BUF,0,0,0,712.795633200057,0,0,0,0,0,0,0,394.555287822912,0,281.48254900697,0,191.407836169415,546.836756353827,0,0,0,0,0,0,0,0,0,0,281.637116323102,0,1168.28509515189,0,0,0,0,0,0,0,0,284.026737867533,0,0,0,0,0,300.574090794287,1981.95934642476,0,0,0,0,1012.91590607986,467.147885182557,0,0,0,0,732.606706856456,0,0,0,0,472.047338842323,0,0,0,0,278.680742574631,1908.16955106953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055.62861001822,0,0
BWI,1666.64788427984,0,0,576.376438939168,1340.40378812707,283.18816891665,0,0,681.401548969312,0,586.390340269003,369.150882037367,281.48254900697,0,472.771432946172,313.689231273862,360.857623565855,336.177060864751,0,0,428.833429253452,405.37782383802,1487.37242603558,1214.71177764448,0,0,0,168.890191533066,0,927.584368598287,0,0,0,0,0,425.485529186363,0,0,0,1233.98846365892,0,514.748500347193,887.552550487989,663.685398840403,183.54010042137,2101.06020130751,2324.01772773846,0,0,964.21244462409,788.567235269311,609.320133640318,0,948.23557557936,639.738412097878,0,934.368593995156,998.085418212961,0,0,0,620.148400807577,159.634074286261,885.56944688488,0,0,90.0125515748762,1994.56114829091,209.844011223037,451.436310892366,255.734579865011,0,0,0,277.443403011363,0,921.459520715458,2290.27256819389,1405.60648535418,0,493.805452518363,0,0,2451.05814129124,0,1860.18465233663,0,0,736.051066508261,0,843.815095973108,0,0
CHS,0,0,0,258.545483389802,0,0,0,0,0,0,438.606404048172,0,0,472.771432946172,0,0,168.122923308036,0,0,0,0,0,0,985.074751362662,0,0,0,628.580504891464,0,0,0,0,0,0,0,0,0,0,442.026881977297,923.307659717506,0,0,0,0,636.949560832694,0,0,0,0,0,0,745.32182841161,0,491.196590379047,0,0,0,0,0,0,0,760.668416417928,0,0,0,0,550.633633974329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,0,0,0,555.425835711565,0,474.266945351808,0,0,0,0,448.305312676737,561.322620584343,191.407836169415,313.689231273862,0,0,431.050443281607,111.898166684681,0,0,0,162.175888256104,1198.0299182824,1020.18857054567,0,0,97.9225074186788,403.178207856055,0,1064.308282552,0,0,0,381.894952727279,0,450.685120950461,0,0,287.815418229967,1091.26769620737,0,260.987160275339,0,0,423.929920540749,1820.3655820332,2048.43082226978,0,0,692.239230519818,897.563291988677,306.032598735184,622.567695595449,1082.87111425252,327.205545900639,0,620.73190640858,918.180723798212,0,0,0,314.784495709764,0,0,0,0,362.358133558586,1734.20451115073,105.651797805423,607.025689981888,416.500085127371,0,362.200396137079,0,243.97545136753,0,1027.87534250445,0,0,0,304.246262789989,0,0,2156.25784463712,0,0,0,0,486.315952984955,316.230298287691,929.211446122044,0,0
CLT,0,0,0,226.545441911534,1030.9382503251,643.590597411293,0,0,350.339792487697,0,327.974121692552,727.468658422814,546.836756353827,360.857623565855,168.122923308036,431.050443281607,0,347.32322732898,0,0,335.060710209661,370.272799071083,1334.91321252442,934.107084195525,0,814.466602011322,0,528.376053621466,0,633.386443271379,0,0,576.768676955919,0,83.174413313164,75.4403318860103,0,332.744750333802,321.499300774339,911.54356532917,0,427.567363954881,561.377375330988,328.983032653235,540.955132011542,1911.82085821267,2120.58120249163,0,0,807.176316421528,469.290274700361,0,510.474185360823,652.107318902178,651.101936332002,0,929.674116215926,650.752065043738,156.261443050116,0,0,599.398352160563,289.184048680051,591.58515793319,2277.15123095375,281.334478576651,448.330322792255,1770.01211595657,366.711230247184,812.056118469675,129.571289360092,0,256.315150645919,0,573.495726411297,0,601.538582941195,2072.63445194052,1093.60449943075,213.781893242045,335.117606754008,2274.61088276008,0,2291.11884151391,0,1723.53770259378,0,548.530567658082,574.415196637117,603.80412139319,508.818550253337,0,0
CMH,0,0,0,447.666918714944,0,0,0,0,0,0,337.663378822413,638.82021741066,0,336.177060864751,0,111.898166684681,347.32322732898,0,0,0,0,0,1151.24917064392,925.087097925287,0,0,0,461.697356552023,0,0,0,0,0,0,0,0,0,0,298.901614781866,985.710698209722,0,0,0,0,481.93197735114,1766.53724257302,1991.03718920935,0,0,0,804.421713742833,282.288709796134,517.375511609189,992.919599278544,0,0,624.838479545892,0,0,0,0,295.043514559343,0,0,0,0,405.325654711885,1667.14061757925,0,0,361.966874877536,0,0,0,0,0,932.468862476635,0,0,0,0,0,0,0,0,0,0,0,408.524947620172,0,830.977736608658,0,0
CPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.045955244624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.284677753742,0,0,0,0,0,0,0
CRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.296042134782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.187079897351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVG,0,0,0,374.200589920937,0,659.994280644407,0,0,0,0,230.084479628291,750.427088673914,0,428.833429253452,0,0,335.060710209661,0,0,0,0,0,1066.56020112576,810.791496482083,0,0,0,567.881394410073,0,934.026814161119,0,0,0,0,329.602226637316,317.182616603729,0,0,387.260330468329,871.414019827876,0,0,0,614.72349638721,587.641189604543,1674.31392034637,1895.8755737729,0,0,538.139300742126,758.564604376115,0,402.796442352156,950.504013722805,317.606450890719,0,595.709401251554,701.610644090064,0,0,0,264.337844792211,0,0,0,0,505.858718097233,0,255.722783112248,0,389.769242684874,0,412.474624531408,0,0,0,880.841219331576,0,0,0,0,1959.80983999741,0,2031.46689533,0,1446.41924646847,0,0,307.289211542798,0,774.887328212336,0,0
DAY,0,0,0,433.098501483914,0,0,0,0,0,0,0,0,0,405.37782383802,0,162.175888256104,370.272799071083,0,0,0,0,0,1082.13369046718,860.331759072295,0,0,0,532.186912277471,0,0,0,0,0,0,0,0,0,0,366.935799167866,0,0,0,0,0,552.458211764201,0,0,0,0,0,809.893551682466,0,0,0,0,0,573.396720257282,0,0,0,0,239.927738503106,0,0,0,0,475.826476606815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829.721311691184,0,0
DEN,349.644134348171,359.551878342054,2400.53707505742,1197.21867647934,776.030379333641,1667.18049465715,0,0,1081.26538666427,455.109102974607,1011.39628591574,1749.72223246115,0,1487.37242603558,0,1198.0299182824,1334.91321252442,1151.24917064392,230.045955244624,0,1066.56020112576,1082.13369046718,0,641.35551776896,0,587.800493694505,0,1601.00346571572,0,1702.06115336937,0,834.502990020773,0,0,0,0,3360.47680514073,1046.26567406536,1448.9366578614,862.202112399892,418.82008257284,974.132227338989,0,1444.72426612323,1621.7434188164,627.228775085839,860.738676483483,456.333976179834,0,531.537226937496,1545.03901766288,893.176745627769,870.854917298217,1708.0633305032,893.567340862067,749.742107282141,678.798222578878,1061.42042593229,0,954.981840147991,817.607107302846,886.143621055975,0,0,989.392690153165,1529.16326348533,1553.7665015848,601.858574483621,1286.91110864988,0,1433.26098224636,826.521724725342,0,802.170478096885,0,0,1605.73779054247,852.154044916925,795.366487937759,0,1021.35814115441,1022.25956860486,0,964.909049478229,945.987190563893,389.990286273035,907.107177155585,0,767.757028806328,0,1505.37463711486,540.645551892352,639.313798818847
DFW,567.851902022633,311.652321584131,0,729.865271631818,190.392582111746,1468.50535540002,0,0,595.962577293195,0,630.201408741606,1559.28356655975,0,1214.71177764448,985.074751362662,1020.18857054567,934.107084195525,925.087097925287,0,355.296042134782,810.791496482083,860.331759072295,641.35551776896,0,0,624.890419277782,0,1370.07756594026,0,1117.86842581035,858.593671528238,0,499.066602075834,0,997.198847852241,860.258622132506,3778.67078667265,601.362653860786,1169.78969295212,224.714489614616,329.181873415384,760.598445423359,407.195025024384,916.72928753441,1388.78571534338,1053.16479213685,1232.36348168159,281.411083425763,0,460.871647997868,983.328188166936,0,430.824397532967,1119.88476310182,853.552467093649,691.18798095431,852.932973678541,447.066850647861,1046.07796748893,0,1185.86193512803,802.01923211205,1210.10599063346,1101.21184397624,1613.83214643595,0,1300.53346305278,866.16138633222,1066.15747119384,0,1059.20426054554,0,1155.48800347485,1342.55712953202,0,0,1015.55086115669,1168.51786600949,247.297448797627,923.395238137056,731.895027217215,1658.01565925579,0,1461.51852834982,1435.58943914107,987.708275539101,1428.27615431432,0,550.182575862096,0,927.573803854494,237.327604214618,811.362498581969
DLH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394.2918611746,0,0,0,0,0,0,0,0,0,0,144.188315676134,0,0,0,0,397.03042953106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DSM,0,0,0,743.063980924167,0,0,0,0,0,0,0,0,0,0,0,0,814.466602011322,0,0,0,0,0,587.800493694505,624.890419277782,0,0,0,1014.36579837204,0,0,0,0,0,0,0,0,0,0,0,803.530727396834,0,0,0,0,0,1213.11531327639,0,0,0,0,0,305.563685529624,490.963589054441,0,0,0,232.402750791088,0,0,0,0,298.343596066784,0,0,0,0,0,1147.83924837887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124.26076662886,0,0,0,0,0,0,0,0,0,0
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.9225074186788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.260115995901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
